NOM;DOSAGE1;FORME
AMPICILLINE LLORENTE;500;GELULE
ICANAL RETARD;40;COMPRIME LP
ICANAL RETARD;40;COMPRIME LP
NOVEX;6000;SOLUTION INJECTABLE
CORDARONE;200;COMPRIME SECABLE
DESTEC 0.5 MG/ML;2.5;SIROP
SEVREDOL;10;COMPRIME PELLICULE SECABLE
IOPIDINE;1;COLLYRE
IOPIDINE;1;COLLYRE
NOCAND 200 MG;200;GELULE
MYCOSTER;1;SOLUTION POUR APPLICATION LOCALE
LEVEMIR PENF;100;SOLUTION INJECTABLE LP
LEVEMIR PENF;100;SOLUTION INJECTABLE LP
SYNNAX;100;COMPRIME
SYNNAX;100;COMPRIME
DUPLAMOX SANS SUCRE;250 / 4;POUDRE POUR SUSPENSION BUVABLE
DUPLAMOX SANS SUCRE;250 / 4;POUDRE POUR SUSPENSION BUVABLE
MAGNEVIST;469.01 / 0.99;SOLUTION INJECTABLE
CARDINOR;25;COMPRIME
CARDINOR;25;COMPRIME
GENTAMEN 10;10;SOLUTION INJECTABLE
MIRCERA 200 µG/0.3 ML;200;SOLUTION INJECTABLE
OMEGEN;20;GELULE
PRIMALAN;1.25;SOLUTION BUVABLE
CLARTEC;0.1;SIROP
CLARTEC;0.1;SIROP
SANDIMMUN;50;CAPSULE MOLLE
ULCESTOP;400;COMPRIME
CILOXAN;0.3;POMMADE OPHTALMIQUE
KETUM 2.5 %;2.5;GEL
ZERIT;30;GELULE
CANDICID;50;GELULE
UNIZITRO;200;POUDRE POUR SUSPENSION BUVABLE
UNIZITRO;200;POUDRE POUR SUSPENSION BUVABLE
AURICULARUM;0.09 / 0.1 / 1 / 10;POUDRE AURICULAIRE
STODAL;;SIROP
AZOLE;400;COMPRIME ENROBE
SEPTANEST ADRENALINEE;72;SOLUTION INJECTABLE POUR USAGE DENTAIRE
RINGER LACTATE LAPROPHAN;600 / 40;SOLUTION POUR PERFUSION
CARBOSYLANE;140 / 45;GELULE
