NOM;DOSAGE1;FORME
RISPERDAL ORO 0.5MG;0.5;COMPRIME ORODISPERSIBLE
NEOFORTAN;80;COMPRIME EFFERVESCENT
TARDYFERON B9;0.35 / 50;COMPRIME ENROBE
SOPHTAL;100 / 5;COLLYRE
OPTICILLINE;250;POUDRE POUR SUSPENSION BUVABLE
FUNGILYSE;100;OVULE
OLOXINE;200;COMPRIME PELLICULE
OLOXINE;200;COMPRIME PELLICULE
DEPAKINE;2;SOLUTION BUVABLE
SANDOSTATINE *;50;SOLUTION INJECTABLE
MEDIBRONC ENFANT;2;SOLUTION BUVABLE
TARCEVA 150 MG;150;COMPRIME PELLICULE
TARCEVA 150 MG;150;COMPRIME PELLICULE
AKINDEX SIROP ENFANT;0.1;SIROP
GYNO-DERMOFIX;300;CAPSULE VAGINALE
CHEMOSET;4;COMPRIME PELLICULE
IONAX T;4 / 2;SOLUTION POUR APPLICATION LOCALE
DOXORUBICINE EBEWE;10;SOLUTION POUR PERFUSION
TRANSILANE;2.816;POUDRE POUR SUSPENSION BUVABLE
CAMPTO;100;SOLUTION A DILUER POUR PERFUSION
GAVISCON;500 / 267;SUSPENSION BUVABLE
REQUIP 0.5 MG;0.5;COMPRIME PELLICULE
ESTRADERM;1.5;DISPOSITIF TRANSDERMIQUE
GEPRID;4;COMPRIME
ACTONEL PLUS CALCIUM D;32.5 / 1 / 880;COMPRIME PELLICULE ET GRANULE EFFERVESCENT
ACTONEL PLUS CALCIUM D;32.5 / 1 / 880;COMPRIME PELLICULE ET GRANULE EFFERVESCENT
MADECASSOL;1;POMMADE
DUPHALAC;10;SOLUTION BUVABLE
TILDIEM;60;COMPRIME
TILDIEM;60;COMPRIME
PHARMATEX;1.2;CREME VAGINALE
AMEP 10;10;COMPRIME
MIFLASONE;400;GELULE INHALEE
BIODROXIL;125;POUDRE POUR SUSPENSION BUVABLE
ALPRAZ;0.5;COMPRIME
DRILL EXPECT. S. S.;750;SOLUTION BUVABLE
ATARAX;2;SOLUTION BUVABLE
BRONCHOFLUIDE;2;SOLUTION BUVABLE
FENTANYL JANSSEN 500 µG/10ML;500;SOLUTION INJECTABLE
INFERON;4.5;SOLUTION INJECTABLE
STRATTERA 60 MG;60;GELULE
D-RUBICIN-50;50;POUDRE POUR PERFUSION
MINALFENE;300;COMPRIME ENROBE
LESCOL LP;80;COMPRIME ENROBE LP
PERVITAL;4;SIROP
DONZEP 5 MG;5;COMPRIME PELLICULE
TIAFLAM 200MG;200;COMPRIME
CLAVULIN;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
ADEPAL;0.15 / 0.04;COMPRIME ENROBE
CLEREGIL ENF;0.5;SOLUTION BUVABLE
LEDERFOLINE;25;COMPRIME SECABLE
GLIMEWIN;3;COMPRIME
GLIMEWIN;3;COMPRIME
LACRYVISC;0.3;GEL OPHTALMIQUE
CILOXAN;0.3;COLLYRE
TRIATEC PROTECT;10;COMPRIME SECABLE
PEDOVEX 75 MG;75;COMPRIME PELLICULE
ARCOXIA;120;COMPRIME PELLICULE
GEPRID;4;COMPRIME
AUGMENTIN;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
CLADIA;500;COMPRIME ENROBE
AMLOR PLUS 5MG/10MG;5 / 10;COMPRIME PELLICULE
AVANDAMET;4 / 500;COMPRIME PELLICULE
AVANDAMET;4 / 500;COMPRIME PELLICULE
UMULINE RAPIDE;100;SOLUTION INJECTABLE
KETALGIC LP 100 MG;100;GELULE LP
KETALGIC LP 100 MG;100;GELULE LP
PERIDYS;10;COMPRIME PELLICULE
ALGIK;500 / 50;COMPRIME
NEUTRAL;4.22 / 5.2;SUSPENSION BUVABLE
HUMALOG KWIK PEN MIX 25;100;SUSPENSION INJECTABLE INTERMEDIAIRE
MEGAFLOX;500;COMPRIME PELLICULE
HYPRIL;20 / 12.5;COMPRIME SECABLE
CEKACORT;5 / 125 / 125;COMPRIME ENROBE GASTRO-RESISTANT
MEZOR 40 MG;40;GELULE GASTRO-RESISTANTE
APURONE;400;COMPRIME
OKA-VINCRISTINE;1;SOLUTION INJECTABLE
CEFAPEROS;250;POUDRE POUR SUSPENSION BUVABLE
CONTRACIDE;4 / 2;SUSPENSION BUVABLE
MYCOPHARM;500000;COMPRIME DRAGEIFIE
COLPOTROPHINE;10;CAPSULE VAGINALE
ROXID;200;GELULE
IDOL 100 MG;100;SUPPOSITOIRE
SUFENTA 10µG /2ML;10;SOLUTION INJECTABLE
CLOMID;50;COMPRIME SECABLE
CLOMID;50;COMPRIME SECABLE
CLARITYNE;5;SIROP
FRAXODI;19000;SOLUTION INJECTABLE
FLUCONAZOLE GT 150 MG;150;GELULE
PEVARYL;1;SOLUTION POUR APPLICATION LOCALE
LAROXYL;50;COMPRIME PELLICULE
LAROXYL;50;COMPRIME PELLICULE
TRILEPTAL;600;COMPRIME PELLICULE
NOVONORM;1;COMPRIME
RINOMICINE;400 / 4;POUDRE POUR SUSPENSION BUVABLE
SOLU MEDROL;20;POUDRE POUR SOLUTION INJECTABLE
LEVOTHYROX;100;COMPRIME SECABLE
DICLO PHARMA 5;75;SOLUTION INJECTABLE
ODIA;4;COMPRIME
ODIA;4;COMPRIME
VOXCIB 200 MG;200;GELULE
FLUZAIR;125;SUSPENSION POUR INHALATION BUCCALE
DUOFILM;16.7 / 100;SOLUTION POUR APPLICATION LOCALE
TWINRIX (ADULTE);0;SUSPENSION INJECTABLE
EPIRUBICINE MYLAN 2 MG/ML;50 / 25;SOLUTION POUR PERFUSION
DRILL EXPECT. AD.;750;SIROP
TRANXILIUM;20;COMPRIME TETRASECABLE
PIZEDA;500;COMPRIME SECABLE
ANGI -SPRAY;182 / 118;COLLUTOIRE
DIVARIUS 20 MG;20;COMPRIME PELLICULE SECABLE
DIVARIUS 20 MG;20;COMPRIME PELLICULE SECABLE
PAXIL CR 12.5 MG;12.5;COMPRIME PELLICULE
PAXIL CR 12.5 MG;12.5;COMPRIME PELLICULE
ULCEMID;400;COMPRIME
TORVA;10;COMPRIME ENROBE
ROMAC;150;COMPRIME SECABLE
TRAMIUM150MG;150;GELULE LP
TRAMIUM150MG;150;GELULE LP
PACLITAXEL MYLAN PHARMA 100 MG/16.7 ML;100;SOLUTION A DILUER POUR PERFUSION
VAXIGRIP;;PREPARATION INJECTABLE
EOSINE PHARMA;2;SOLUTION POUR APPLICATION LOCALE
ECLARAN;10;GEL
CHIBRO-CADRON;350000 / 100;COLLYRE
CHIBRO-CADRON;350000 / 100;COLLYRE
NASONEX;50;SUSPENSION POUR PULVERISATION NASALE
DEXAMETHASONE MYLAN;4;SOLUTION INJECTABLE
ULCEMAT;200;COMPRIME
TRIMOX;100 / 20;COMPRIME
ZYBAN;150;COMPRIME PELLICULE LP
OPTICRON;2;COLLYRE
OPTICRON;2;COLLYRE
ANTAGON H2;200;COMPRIME EFFERVESCENT
AMCARD;10;COMPRIME
SPIRALIDE;3;COMPRIME SECABLE
BAITANET D;10;SOLUTION POUR APPLICATION LOCALE
AXIMYCINE;500;GELULE
KEPPRA;1;COMPRIME PELLICULE SECABLE
KOGENATE 250 UI;250;POUDRE POUR SOLUTION INJECTABLE
TRIOMUNE 40;40 / 150;COMPRIME
ACCUPRIL;20;COMPRIME ENROBE SECABLE
NOCOL;20;COMPRIME PELLICULE
VAGIFEM;25;COMPRIME GYNECOLOGIQUE
SUFENTA;250;SOLUTION INJECTABLE
IPERTEN;20;COMPRIME
IPERTEN;20;COMPRIME
ANDRIOL GM;40;CAPSULE
FLOXAPEN;500;POUDRE POUR USAGE PARENTERAL
CURAM;250 / 62.5;POUDRE POUR SUSPENSION BUVABLE
TRACRIUM;50;SOLUTION INJECTABLE
CARDIX;25;COMPRIME SECABLE
LYSANXIA;10;COMPRIME SECABLE
TOTHEMA;50 / 1.33;SOLUTION BUVABLE
CRONODINE LP 120 MG;120;GELULE LP
IPP;20;GELULE GASTRO-RESISTANTE
STARMOX;1;COMPRIME DISPERSIBLE
STREPTOCID;1;COMPRIME
BACTOX;1;POUDRE POUR SUSPENSION BUVABLE
PREPACOL L (H);5 / 9.54 / 41.74;SOLUTION BUVABLE
PLAVIX 300 MG;300;COMPRIME PELLICULE
PLAVIX 300 MG;300;COMPRIME PELLICULE
PLAVIX 300 MG;300;COMPRIME PELLICULE
CARBOPLATINE AGUETTANT 450 MG;450;SOLUTION POUR PERFUSION
VOGALENE;0.1;SIROP
LOCABIOTAL;50;SOLUTION POUR PULVERISATION BUCCALE OU NASALE
ADRENALINE 0,25 MG;0.25;SOLUTION INJECTABLE
NEO-CODION ENFANTS;0.1098;SIROP
KETALGIC LP 200 MG;200;GELULE LP
KETALGIC LP 200 MG;200;GELULE LP
LOMET;30;GELULE
HEXABRIX;200;SOLUTION INJECTABLE
ADRENALINE 0,25 MG;0.25;SOLUTION INJECTABLE
VIVALAN LP;300;COMPRIME LP
FLIXOTIDE;50;SUSPENSION POUR INHALATION
EMOFORM;1.4 / 4.8;PATE DENTIFRICE
AVODART;0.5;CAPSULE MOLLE
AVODART;0.5;CAPSULE MOLLE
VIRAFERON PEG;100;POUDRE POUR SOLUTION INJECTABLE
BARALGIN M;2.5;SOLUTION INJECTABLE
DIAMICRON;80;COMPRIME SECABLE
CEFAPEROS;500;GELULE
TRIBUTINE;0.787;GRANULE POUR SUSPENSION BUVABLE
TOPREC;25;COMPRIME
TOPREC;25;COMPRIME
FLOTEC;50;SUSPENSION POUR PULVERISATION NASALE
FONGICAN;150;GELULE
CUSIVIRAL;3;POMMADE OPHTALMIQUE
GENTAMICIN-POS;5;COLLYRE
CONTALAX;5;COMPRIME GASTRO-RESISTANT
ZOLAM;30;GELULE
SOCLAV;1 / 125;POUDRE POUR SUSPENSION BUVABLE
SOCLAV;1 / 125;POUDRE POUR SUSPENSION BUVABLE
OFTALMOTRIM;0.1 / 1000000;COLLYRE
MUXOL;15;SOLUTION BUVABLE
PROFLOX;250;COMPRIME ENROBE
INTETRIX;50 / 200;GELULE
STARPEN;0.4;GRANULE POUR SUSPENSION BUVABLE
PLAVIX 300 MG;300;COMPRIME PELLICULE
OXYBUT;5;COMPRIME SECABLE
CINET;1;SUSPENSION BUVABLE
METHYLPREDNISOLONE MYLAN;1;POUDRE POUR SOLUTION INJECTABLE IV
BUDENA;200;SUSPENSION POUR INHALATION BUCCALE
VERMOX;500;COMPRIME
NALOXONE MYLAN 0.4 MG/1 ML;0.4;SOLUTION INJECTABLE
NALOXONE MYLAN 0.4 MG/1 ML;0.4;SOLUTION INJECTABLE
SYNNAX;5;COMPRIME DISPERSIBLE
SYNNAX;5;COMPRIME DISPERSIBLE
MACROMAX 200 MG/5ML;200;POUDRE POUR SUSPENSION BUVABLE
BRONCHOKOD;5;SIROP
MICROZIDE;80;COMPRIME SECABLE
OEDES;20;GELULE
CLAMOXYL;125;POUDRE POUR SUSPENSION BUVABLE
DIFAL;50;COMPRIME ENROBE
PRASTENOR 20MG;20;COMPRIME SECABLE
FORTZAAR;100 / 12.5;COMPRIME PELLICULE
ROCGEL;200;SUSPENSION BUVABLE
FRAKIDEX COLLYRE;5 / 31500;COLLYRE
VELITENE;200 / 50;COMPRIME PELLICULE
VELITENE;200 / 50;COMPRIME PELLICULE
HERCEPTIN;150;POUDRE POUR PERFUSION
GAVISCON;500 / 267;SUSPENSION BUVABLE
SEROHALE 250 µG;25 / 250;SUSPENSION POUR INHALATION BUCCALE
SEROHALE 250 µG;25 / 250;SUSPENSION POUR INHALATION BUCCALE
FRAXIPARINE;2850;SOLUTION INJECTABLE
ARGININE VEYRON;1;SOLUTION BUVABLE
CLORACEF;125;GRANULE POUR SUSPENSION BUVABLE
TOPIRAMATE GT 50 MG;50;COMPRIME PELLICULE
TORVA;10;COMPRIME ENROBE
CARTEOL;1;COLLYRE
EURAX;10;CREME
MOSCONTIN;10;COMPRIME LP
EBETAXEL;150;SOLUTION A DILUER POUR PERFUSION
MAGNE B 6;500 / 125;COMPRIME ENROBE
OROTREX;10;CAPSULE MOLLE
KEFOTAX IV;1;POUDRE POUR SOLUTION INJECTABLE
EUMOXOL 0.3%;0.3;SOLUTION BUVABLE
RANTUDIL RETARD;90;GELULE LP
NAPROXENE PHARMA FORT;550;GELULE
ORUVAIL;100;GELULE LP
SEPTAZIDE;200;GELULE
RINIAZIDE;150 / 100;GELULE
DIAMICRON LM;30;COMPRIME LM
MACROMAX 200 MG/5ML;200;POUDRE POUR SUSPENSION BUVABLE
ELVORINE;7.5;COMPRIME
GRISEOPHARM;500;COMPRIME
STRATTERA 25 MG;25;GELULE
TOPIRAMATE GT 50 MG;50;COMPRIME PELLICULE
ALIMTA;500;POUDRE POUR PERFUSION
ALIMTA;500;POUDRE POUR PERFUSION
ACNO 30 MG;31.50;CAPSULE MOLLE
ACNO 30 MG;31.50;CAPSULE MOLLE
PIPORTIL L4;100;SOLUTION INJECTABLE
PIPORTIL L4;100;SOLUTION INJECTABLE
ATARAX;25;COMPRIME PELLICULE SECABLE
CHOLESTIN 10 MG;10;COMPRIME SECABLE
FLOXAPEN;500;GELULE
DURESAN;20;SOLUTION INJECTABLE
SUSTANON;100 / 60;SOLUTION INJECTABLE
RADIOSELECTAN URINAIRE ET VASCULAIRE;76;SOLUTION INJECTABLE
DOGMATIL;50;GELULE
HYPERIUM;1;COMPRIME
AMUCHIN 3;0.033 / 0.54;SOLUTION POUR APPLICATION LOCALE
TOTAPEN;1;POUDRE POUR SOLUTION INJECTABLE
SODIUM CHLORURE PROMOPHARM;10;SOLUTION POUR PERFUSION
EXOCINE;0.3;COLLYRE
TARGOCID;200;POUDRE POUR SOLUTION INJECTABLE
MEXINE 250 MG;250;COMPRIME PELLICULE
ROCEPHIN IV;500;POUDRE POUR SOLUTION INJECTABLE
XATRAL LP;10;COMPRIME LP
GENTADEXA;;COLLYRE
GENTADEXA;;COLLYRE
METHOTREXATE MYLAN;5;SOLUTION INJECTABLE
ACTIFED;2.5 / 50 / 300;COMPRIME
XELODA;150;COMPRIME PELLICULE
NATISPRAY;0.3;SOLUTION POUR PULVERISATION BUCCALE
JEVTANA 60MG/1.5ML;60;SOLUTION A DILUER POUR PERFUSION
VOLTARENE;25;SUPPOSITOIRE
ZITHROMAX;300;POUDRE POUR SUSPENSION BUVABLE
INFERON;3;SOLUTION INJECTABLE
TAHOR;10;COMPRIME PELLICULE
BICALUTAMIDE GT;50;COMPRIME PELLICULE
BICALUTAMIDE GT;50;COMPRIME PELLICULE
PENAMOX;250;COMPRIME DISPERSIBLE
GASTROCYNESINE;;COMPRIME
TITANOREINE;0.3 / 0.2;SUPPOSITOIRE
ALFATIL;500;COMPRIME DISPERSIBLE
VOLTARENE LP;100;COMPRIME LP
FLUCONAZOLE WIN 150;150;GELULE
TEGUMA;1;SOLUTION POUR APPLICATION LOCALE
TEGUMA;1;SOLUTION POUR APPLICATION LOCALE
MIACALCIC 200 UI;2200;SOLUTION POUR PULVERISATION NASALE
MIACALCIC 200 UI;2200;SOLUTION POUR PULVERISATION NASALE
MANNITOL 10% LAPROPHAN;10;SOLUTION POUR PERFUSION
HOMEOAFTYL;;COMPRIME A SUCER
EM 80 ACIDE;;SOLUTE CONCENTRE
EXFORGE 10 MG/160 MG;10 / 160;COMPRIME PELLICULE
EXFORGE 10 MG/160 MG;10 / 160;COMPRIME PELLICULE
CALCIUM SANDOZ;500;COMPRIME EFFERVESCENT
MICROGYNON 30;0.15 / 0.03;COMPRIME ENROBE
LAMICTAL;25;COMPRIME
OLMETEC;40;COMPRIME PELLICULE
VALEX 500 MG;500;COMPRIME ENROBE
VALEX 500 MG;500;COMPRIME ENROBE
SAGADREPS 20 MG ARÔME ORANGE;20;PASTILLE A SUCER
STAPHYMYCINE;500;POUDRE POUR SOLUTION INJECTABLE
ZIFAR;10;COMPRIME
VIRAFERONPEG 100 µG;100;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
MODINE;10;SOLUTION INJECTABLE POUR PERFUSION
MODINE;10;SOLUTION INJECTABLE POUR PERFUSION
FLUPEN 125 MG/5 ML;125;POUDRE POUR SUSPENSION BUVABLE
VIRAFERON PEG;120;POUDRE POUR SOLUTION INJECTABLE
UROMITEXAN;400;SOLUTION POUR PERFUSION
OXONE 500 MG/5ML IV;500;POUDRE POUR SOLUTION INJECTABLE
LISASPIN;1;POUDRE POUR SOLUTION BUVABLE
TERBINAFINE GT;250;COMPRIME SECABLE
TERBINAFINE GT;250;COMPRIME SECABLE
MEGASFON 80 MG;80;COMPRIME ORODISPERSIBLE
MELADININE;10;COMPRIME
GLIVEC 400MG;400;COMPRIME PELLICULE
GLIVEC 400MG;400;COMPRIME PELLICULE
DIGERVIN 20 MG;20;COMPRIME
MEIACT 200 MG;254;COMPRIME PELLICULE
FLUCONAZOLE WIN 150;150;GELULE
TRITAZIDE;5 / 25;COMPRIME
TRITAZIDE;5 / 25;COMPRIME
TERIX 250 MG;250;COMPRIME
TERIX 250 MG;250;COMPRIME
CYCLO 3;150 / 150;GELULE
CLARADOL;500;COMPRIME EFFERVESCENT
AIRLIX;10;COMPRIME PELLICULE SECABLE
AIRLIX;10;COMPRIME PELLICULE SECABLE
SIMVASTATINE GT;40;COMPRIME ENROBE
SIMVASTATINE GT;40;COMPRIME ENROBE
LARGACTIL;100;COMPRIME PELLICULE SECABLE
INNOHEP 10 000 UI ANTI-XA/0,5 ML;10000;SOLUTION INJECTABLE
DISPAMOX;125;POUDRE POUR SUSPENSION BUVABLE
IBUMAC 100 MG/ 5 ML;100;SUSPENSION BUVABLE
IBUMAC 100 MG/ 5 ML;100;SUSPENSION BUVABLE
AVANDAMET;4 / 1000;COMPRIME PELLICULE
AVANDAMET;4 / 1000;COMPRIME PELLICULE
OLICLINOMEL N7-1000E;;SOLUTION ET EMULSION POUR PERFUSION
OLICLINOMEL N7-1000E;;SOLUTION ET EMULSION POUR PERFUSION
METHOTREXATE BIODIM;25;SOLUTION INJECTABLE
GASTROP;400;COMPRIME
FLUPEN 250 MG/5 ML;250;POUDRE POUR SUSPENSION BUVABLE
UROSTA;5;COMPRIME SECABLE
LESCOL;40;GELULE
GLUCOSE 5% LAPROPHAN;5;SOLUTION POUR PERFUSION
PEVAGINE;1;CREME
CHEMOSET;8;COMPRIME PELLICULE
BIOMOX;500;GELULE
TETRACYCLINE LAPROPHAN;4;POUDRE POUR APPLICATION LOCALE
FELDENE FAST;20;COMPRIME SUBLINGUAL
URO 3000 GLYCOCOLLE AGUETTANT;1.5;SOLUTION POUR IRRIGATION
MUCOSTEINE;5;SIROP
KALEST;20;GELULE
MEIACT 200 MG;254;COMPRIME PELLICULE
MANNITOL 20 % SOTHEMA;20;SOLUTION POUR PERFUSION
MIRCERA 50 µG/0.3 ML;50;SOLUTION INJECTABLE
FELDENE;0.5;GEL
MICROPAQUE COLON;369.52;POUDRE RECTALE
COTIPRED;20;COMPRIME SECABLE EFFERVESCENT
SUPPOSEDAL PARACETAMOL ENFANT;10 / 20 / 250;SUPPOSITOIRE
SUPPOSEDAL PARACETAMOL NOURRISSON;5 / 10 / 100;SUPPOSITOIRE
SOLU MEDROL;500;POUDRE POUR PERFUSION
TAGAMET;400;COMPRIME PELLICULE
ETOPOSIDE MYLAN;20;SOLUTION A DILUER POUR PERFUSION
ANTINAL;4;SUSPENSION BUVABLE
TRIMAREL;20;COMPRIME PELLICULE
CAPD/DPCA 3;;SOLUTION POUR DIALYSE PERITONEALE
MYCOSTATINE;500000;COMPRIME ENROBE
EXODERIL;1;CREME
DANATROL;200;GELULE
INTRONA;1;SOLUTION INJECTABLE
INTRONA;1;SOLUTION INJECTABLE
LACTULAX;50;SOLUTION BUVABLE
CICLOVIRAL;400;COMPRIME
BIBAG;;POUDRE POUR CONCENTRE POUR HEMODIALYSE
FLOXAPEN;250;POUDRE POUR USAGE PARENTERAL
SPIRIVA 18 µG;18;GELULE INHALEE
SPIRIVA 18 µG;18;GELULE INHALEE
CO-AMAREL 2 MG/ 500 MG;2 / 500;COMPRIME PELLICULE
CO-AMAREL 2 MG/ 500 MG;2 / 500;COMPRIME PELLICULE
ARANESP 150 µG;150;SOLUTION INJECTABLE
ARANESP 150 µG;150;SOLUTION INJECTABLE
ALLERGINE;10;COMPRIME SECABLE
MYCOPHARM;100000;COMPRIME VAGINAL
BIDONTOGYL;1.5 / 250;COMPRIME PELLICULE
UMAX 400 µG LP;0.4;GELULE LP
UMAX 400 µG LP;0.4;GELULE LP
KALEST;20;GELULE
GLYSET;2;COMPRIME
MIOCAMEN;50;GRANULE POUR SUSPENSION BUVABLE
THIOBACTIN;250;COMPRIME
TIBERAL;500;COMPRIME ENROBE
REMICADE;100;POUDRE POUR PERFUSION
COPEGUS;200;COMPRIME PELLICULE
DERMOFIX;2;POUDRE POUR APPLICATION LOCALE
FLUCONAZOLE GT 150 MG;150;GELULE
ARES;250;COMPRIME PELLICULE
CYCLOMIDE NOVOPHARMA 500 MG;500;POUDRE POUR USAGE PARENTERAL
SOCLAV ENFANT;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
HYDROCORTISONE LEURQUIN;100;POUDRE POUR SOLUTION INJECTABLE
HYDROCORTISONE LEURQUIN;100;POUDRE POUR SOLUTION INJECTABLE
BIOMOX;250;POUDRE POUR SUSPENSION BUVABLE
PAXIL CR 25 MG;25;COMPRIME PELLICULE
PAXIL CR 25 MG;25;COMPRIME PELLICULE
AVANDIA;8;COMPRIME PELLICULE
ALFAPROXINE;250;COMPRIME PELLICULE
PARANTAL 300 MG;300;SUPPOSITOIRE
LEVAMOX 1G/125MG;1 / 125;COMPRIME EFFERVESCENT
LEVITRA;10;COMPRIME PELLICULE
BIPRETERAX;1.25 / 5;COMPRIME PELLICULE
ODIA;3;COMPRIME
GYNO-PEVARYL;150;OVULE
TAHOR;40;COMPRIME PELLICULE
TAHOR;40;COMPRIME PELLICULE
NAPROXENE PHARMA;550;POUDRE POUR SOLUTION INJECTABLE
BICARBONATE DE SODIUM LAPROPHAN;4.2;SOLUTION POUR PERFUSION
BRONCOLIBER ENFANT;15;SIROP
CHLORURE DE SODIUM LAPROPHAN;0.9;SOLUTION POUR PERFUSION
TERIX;250;COMPRIME
TERIX;250;COMPRIME
SOMATULINE LP 90 MG;90;SOLUTION INJECTABLE LP
SOMATULINE LP 90 MG;90;SOLUTION INJECTABLE LP
PNEUMOCCID;1;COMPRIME DISPERSIBLE
ZAVEDOS;10;POUDRE POUR SOLUTION POUR PERFUSION
NAUSELIUM;1;SUSPENSION BUVABLE
DYNASTAT;40;POUDRE POUR SOLUTION INJECTABLE
NOVOCLIN 250MG/31.25MG;250 / 31.25;POUDRE POUR SUSPENSION BUVABLE
OKA-TAMOX;20;COMPRIME
ZEFFIX;100;COMPRIME PELLICULE
SYMBICORT TURBUHALER;200 / 6;POUDRE POUR INHALATION
EAU P.P.I.;5;SOLVANT POUR PEPARATION INJECTABLE
CETAMYL;500;POUDRE POUR SOLUTION BUVABLE
AMIKLIN;500;POUDRE POUR SOLUTION INJECTABLE
CEFALINE HAUTH;500 / 50;POUDRE POUR SOLUTION BUVABLE
PROGOR;360;GELULE LP
TRINOMYC;2;SOLUTION POUR PERFUSION
ZOLAM;15;GELULE
ZOLAM;15;GELULE
DAIVONEX;50;POMMADE
CISPLATINE EBEWE;100;SOLUTION POUR PERFUSION
CLAVAM;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
CLOPRAME;10;COMPRIME
PROMET;500;OVULE
PROGAST;20;GELULE
PROGAST;20;GELULE
AVLOCARDYL;5;SOLUTION POUR PERFUSION
SPASMOPAN;10;SUPPOSITOIRE
COQUELUSEDAL PARACETAMOL AD;20 / 40 / 500;SUPPOSITOIRE
SOLIAN;200;COMPRIME SECABLE
SOLIAN;200;COMPRIME SECABLE
ARIXTRA 7.5 MG/0.6 ML;7.5;SOLUTION INJECTABLE
CHLORURE DE SODIUM LAPROPHAN;0.9;SOLUTION POUR PERFUSION
VITATLON PLUS;500;COMPRIME EFFERVESCENT
VITATLON PLUS;500;COMPRIME EFFERVESCENT
NORLUTEN;5;COMPRIME PELLICULE
HEPADIAL;50;COMPRIME ENROBE
RAMIPRIL WIN;5;COMPRIME
RAMIPRIL WIN;5;COMPRIME
LIFONGID;1;SOLUTION POUR APPLICATION LOCALE
COTAREG;160 / 12.5;COMPRIME PELLICULE
SELEXID 200 MG;200;COMPRIME PELLICULE
EUSAPRIM FORT;800 / 160;COMPRIME SECABLE
BIOGAZE HN GM;85.55 / 56.55;COMPRESSE IMPREGNEE
VISANNE 2 MG;2;COMPRIME
ALIVIAR;50;GELULE
CANDICID;150;GELULE
BETADINE;250;OVULE
LOCACID;15;CREME
STALEVO 100/25/200 MG;200 / 100 / 27.50;COMPRIME PELLICULE
IXOR;10;COMPRIME EFFERVESCENT
FLIXOTIDE DISKUS;250;SUSPENSION POUR INHALATION
ONDANSETRON MYLAN 8 MG/4ML;8;SOLUTION INJECTABLE
GENCIFRICE;0.8;GEL GINGIVAL
CICLOVIRAL;250;POUDRE POUR SOLUTION INJECTABLE
CICLOVIRAL;250;POUDRE POUR SOLUTION INJECTABLE
ERLUS 5 MG;5;COMPRIME PELLICULE
LEVAMOX;1 / 125;COMPRIME EFFERVESCENT
CRISTAL NOUR;0.66;SUPPOSITOIRE
KENACORT RETARD;40;SUSPENSION INJECTABLE
REVOCIR;5;CREME
ATOPIX;10;COMPRIME PELLICULE SECABLE
ACIDE EM;;SOLUTE CONCENTRE
DI-INDO;25;COMPRIME DISPERSIBLE
PACLITAXEL PHARMACHEMIE 6MG/ML;150;CONCENTRE POUR SOLUTION POUR PERFUSION
LUDIOMIL;25;COMPRIME PELLICULE SECABLE
ONDANSETRON AGUETTANT 2 MG/ML;8;SOLUTION INJECTABLE
PROCTOLOG;5.8;CREME RECTALE
METAGLIZ;10;COMPRIME
MOBIC;15;SOLUTION INJECTABLE
MILIPREL;2;COMPRIME
NOVALGINE;5;SIROP
NOVALGINE;5;SIROP
NEVIMUNE;200;COMPRIME
ROYEN 500MG;500;CAPSULE
UNASYN INJECTABLE (IM/IV) 2000 MG/1000 MG;2 / 1;POUDRE POUR USAGE PARENTERAL
AZ;200;POUDRE POUR SUSPENSION BUVABLE
AMOVAS;10;COMPRIME
ASPEGIC AD;1;POUDRE POUR SOLUTION BUVABLE
PROFENID;50;GELULE
PARANTAL;80;GRANULE POUR SUSPENSION BUVABLE
DICLO PHARMA 5 RETARD;100;COMPRIME ENROBE
STEROGYL 15 H;0.6;SOLUTION BUVABLE ET INJECTABLE
VITAMINE C;1;COMPRIME EFFERVESCENT
DUROGESIC;25;DISPOSITIF TRANSDERMIQUE
MEGAFLOX IV;100;SOLUTION POUR PERFUSION
NO-SPA;40;COMPRIME
STAPHYMYCINE;1;POUDRE POUR SOLUTION INJECTABLE
ULCECURE;1 / 500 / 20;GELULE ET COMPRIME
HALDOL FORT;2;SOLUTION POUR GOUTTES BUVABLES
LEUCODININE;10;POMMADE
NOPOROSE 35 MG;35;COMPRIME PELLICULE
CILENTRA 10 MG;10;COMPRIME PELLICULE SECABLE
DELTAZINE ADRENALINE;72;SOLUTION INJECTABLE
CLOPIDOGREL GT 75 MG;75;COMPRIME PELLICULE
AZITHROMYCINE WIN 500 MG;500;COMPRIME PELLICULE
FLUSTAPH;125;POUDRE POUR SUSPENSION BUVABLE
PERIANEST 0,5%;0.5;SOLUTION INJECTABLE
XATRAL LP;5;COMPRIME ENROBE LP
CLAVULIN;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
SOMATULINE LP 120 MG;120;SOLUTION INJECTABLE LP
SOMATULINE LP 120 MG;120;SOLUTION INJECTABLE LP
LORAZEPAM PHARMA;1;COMPRIME
RISPERDAL;1;COMPRIME PELLICULE SECABLE
RISPERDAL;1;COMPRIME PELLICULE SECABLE
